127.0.0.1 - - [03/Sep/2015:08:34:05 -0400] "GET / HTTP/1.1" 200 1868
70.208.70.251 - - [03/Sep/2015:08:36:47 -0400] "GET / HTTP/1.1" 200 1868
70.208.70.251 - - [03/Sep/2015:08:36:47 -0400] "GET /css/style.css HTTP/1.1" 200 11028
70.208.70.251 - - [03/Sep/2015:08:36:47 -0400] "GET /FREEWARE/slick-1.5.7/slick/slick.css HTTP/1.1" 200 1767
70.208.70.251 - - [03/Sep/2015:08:36:47 -0400] "GET /FREEWARE/slick-1.5.7/slick/slick-theme.css HTTP/1.1" 200 3011
70.208.70.251 - - [03/Sep/2015:08:36:48 -0400] "GET /Javascript/jquery-1.11.2.min.js HTTP/1.1" 200 95931
70.208.70.251 - - [03/Sep/2015:08:36:48 -0400] "GET /Javascript/jquery-ui.js HTTP/1.1" 200 470596
70.208.70.251 - - [03/Sep/2015:08:36:48 -0400] "GET /Javascript/jcanvas.min.js HTTP/1.1" 200 32805
70.208.70.251 - - [03/Sep/2015:08:36:48 -0400] "GET /FREEWARE/slick-1.5.7/slick/slick.min.js HTTP/1.1" 200 40143
70.208.70.251 - - [03/Sep/2015:08:36:48 -0400] "GET /Javascript/master.js HTTP/1.1" 200 3743
70.208.70.251 - - [03/Sep/2015:08:36:48 -0400] "GET /Javascript/index.js HTTP/1.1" 200 2010
70.208.70.251 - - [03/Sep/2015:08:36:49 -0400] "GET /images/bg-menu-left-curve.gif HTTP/1.1" 200 1240
70.208.70.251 - - [03/Sep/2015:08:36:49 -0400] "GET /images/bg-content.gif HTTP/1.1" 200 1162
70.208.70.251 - - [03/Sep/2015:08:36:49 -0400] "GET /Javascript/preorderTraversal.js?_=1441283808174 HTTP/1.1" 200 4669
70.208.70.251 - - [03/Sep/2015:08:36:50 -0400] "GET /FREEWARE/slick-1.5.7/slick/ajax-loader.gif HTTP/1.1" 200 4178
70.208.70.251 - - [03/Sep/2015:08:36:50 -0400] "GET /images/bg-menu.gif HTTP/1.1" 200 1173
70.208.70.251 - - [03/Sep/2015:08:36:50 -0400] "GET /images/inorder.png HTTP/1.1" 200 4895
70.208.70.251 - - [03/Sep/2015:08:36:50 -0400] "GET /images/preorder.png HTTP/1.1" 200 4827
70.208.70.251 - - [03/Sep/2015:08:36:50 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
70.208.70.251 - - [03/Sep/2015:08:36:50 -0400] "GET /images/postorder.png HTTP/1.1" 200 4652
70.208.70.251 - - [03/Sep/2015:08:50:23 -0400] "GET / HTTP/1.1" 304 -
70.208.70.251 - - [03/Sep/2015:08:50:24 -0400] "GET /FREEWARE/slick-1.5.7/slick/slick-theme.css HTTP/1.1" 304 -
70.208.70.251 - - [03/Sep/2015:08:50:24 -0400] "GET /FREEWARE/slick-1.5.7/slick/slick.css HTTP/1.1" 304 -
70.208.70.251 - - [03/Sep/2015:08:50:24 -0400] "GET /css/style.css HTTP/1.1" 304 -
70.208.70.251 - - [03/Sep/2015:08:50:24 -0400] "GET /Javascript/jquery-1.11.2.min.js HTTP/1.1" 304 -
70.208.70.251 - - [03/Sep/2015:08:50:24 -0400] "GET /Javascript/jquery-ui.js HTTP/1.1" 304 -
70.208.70.251 - - [03/Sep/2015:08:50:24 -0400] "GET /Javascript/jcanvas.min.js HTTP/1.1" 304 -
70.208.70.251 - - [03/Sep/2015:08:50:24 -0400] "GET /FREEWARE/slick-1.5.7/slick/slick.min.js HTTP/1.1" 304 -
70.208.70.251 - - [03/Sep/2015:08:50:24 -0400] "GET /Javascript/index.js HTTP/1.1" 304 -
70.208.70.251 - - [03/Sep/2015:08:50:24 -0400] "GET /Javascript/master.js HTTP/1.1" 304 -
70.208.70.251 - - [03/Sep/2015:08:50:24 -0400] "GET /Javascript/preorderTraversal.js?_=1441284623943 HTTP/1.1" 200 4669
70.208.70.251 - - [03/Sep/2015:08:50:24 -0400] "GET /images/preorder.png HTTP/1.1" 304 -
70.208.70.251 - - [03/Sep/2015:08:50:24 -0400] "GET /images/postorder.png HTTP/1.1" 304 -
70.208.70.251 - - [03/Sep/2015:08:50:24 -0400] "GET /images/inorder.png HTTP/1.1" 304 -
96.38.176.108 - - [03/Sep/2015:09:23:08 -0400] "GET / HTTP/1.1" 200 1868
70.208.70.251 - - [03/Sep/2015:10:00:09 -0400] "GET / HTTP/1.1" 304 -
70.208.70.251 - - [03/Sep/2015:10:00:10 -0400] "GET /Javascript/preorderTraversal.js?_=1441288809577 HTTP/1.1" 200 4669
66.249.64.63 - - [03/Sep/2015:12:28:30 -0400] "GET /robots.txt HTTP/1.1" 404 1014
66.249.64.68 - - [03/Sep/2015:12:28:30 -0400] "GET / HTTP/1.1" 200 1868
137.188.108.203 - - [03/Sep/2015:12:29:10 -0400] "GET / HTTP/1.1" 200 1868
8.28.16.254 - - [03/Sep/2015:12:29:10 -0400] "GET / HTTP/1.1" 200 1868
137.188.108.203 - - [03/Sep/2015:12:29:10 -0400] "GET /css/style.css HTTP/1.1" 200 11028
137.188.108.203 - - [03/Sep/2015:12:29:10 -0400] "GET /FREEWARE/slick-1.5.7/slick/slick.min.js HTTP/1.1" 200 40143
199.91.135.140 - - [03/Sep/2015:12:29:11 -0400] "GET / HTTP/1.1" 200 1868
137.188.108.203 - - [03/Sep/2015:12:29:13 -0400] "GET /Javascript/jquery-1.11.2.min.js HTTP/1.1" 200 95931
137.188.108.203 - - [03/Sep/2015:12:29:13 -0400] "GET /FREEWARE/slick-1.5.7/slick/slick-theme.css HTTP/1.1" 200 3011
137.188.108.203 - - [03/Sep/2015:12:29:13 -0400] "GET /FREEWARE/slick-1.5.7/slick/slick.css HTTP/1.1" 200 1767
137.188.108.203 - - [03/Sep/2015:12:29:13 -0400] "GET /Javascript/jcanvas.min.js HTTP/1.1" 200 32805
137.188.108.203 - - [03/Sep/2015:12:29:13 -0400] "GET /Javascript/index.js HTTP/1.1" 200 2010
137.188.108.203 - - [03/Sep/2015:12:29:13 -0400] "GET /Javascript/master.js HTTP/1.1" 200 3743
137.188.108.203 - - [03/Sep/2015:12:29:13 -0400] "GET /Javascript/jquery-ui.js HTTP/1.1" 200 470596
137.188.108.203 - - [03/Sep/2015:12:29:14 -0400] "GET /images/bg-menu-left-curve.gif HTTP/1.1" 200 1240
137.188.108.203 - - [03/Sep/2015:12:29:14 -0400] "GET /images/bg-content.gif HTTP/1.1" 200 1162
137.188.108.203 - - [03/Sep/2015:12:29:14 -0400] "GET /Javascript/preorderTraversal.js?_=1441297753883 HTTP/1.1" 200 4669
137.188.108.203 - - [03/Sep/2015:12:29:14 -0400] "GET /images/preorder.png HTTP/1.1" 200 4827
137.188.108.203 - - [03/Sep/2015:12:29:14 -0400] "GET /images/postorder.png HTTP/1.1" 200 4652
137.188.108.203 - - [03/Sep/2015:12:29:14 -0400] "GET /images/inorder.png HTTP/1.1" 200 4895
137.188.108.203 - - [03/Sep/2015:12:29:14 -0400] "GET /FREEWARE/slick-1.5.7/slick/ajax-loader.gif HTTP/1.1" 200 4178
137.188.108.203 - - [03/Sep/2015:12:29:14 -0400] "GET /images/bg-menu.gif HTTP/1.1" 200 1173
137.188.108.203 - - [03/Sep/2015:12:29:17 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
