127.0.0.1 - - [05/Aug/2015:20:10:35 -0400] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [05/Aug/2015:20:10:39 -0400] "GET /JEZ3_Apps/blog.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:10:39 -0400] "GET /JEZ3_Apps/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:10:39 -0400] "GET /JEZ3_Apps/css/nouislider.min.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:10:39 -0400] "GET /JEZ3_Apps/css/jquery-ui.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:10:39 -0400] "GET /JEZ3_Apps/Javascript/run_prettify.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:10:39 -0400] "GET /JEZ3_Apps/Javascript/nouislider.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:10:39 -0400] "GET /JEZ3_Apps/Javascript/jquery-1.11.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:10:39 -0400] "GET /JEZ3_Apps/Javascript/jcanvas.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:10:39 -0400] "GET /JEZ3_Apps/Javascript/preorderTraversal.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:10:39 -0400] "GET /JEZ3_Apps/images/bg-content.gif HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:10:39 -0400] "GET /JEZ3_Apps/images/bg-menu.gif HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:10:39 -0400] "GET /JEZ3_Apps/images/bg-menu-left-curve.gif HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:10:39 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [05/Aug/2015:20:10:47 -0400] "GET /JEZ3_Apps/inordertraversal.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:10:47 -0400] "GET /JEZ3_Apps/Javascript/inorderTraversal.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/blog.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/css/nouislider.min.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/Javascript/jcanvas.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/Javascript/run_prettify.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/Javascript/nouislider.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/Javascript/jquery-1.11.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/css/jquery-ui.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/Javascript/preorderTraversal.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/images/bg-content.gif HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/images/bg-menu-left-curve.gif HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/images/bg-menu.gif HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/blog.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/css/nouislider.min.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/css/jquery-ui.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/Javascript/nouislider.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/Javascript/run_prettify.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/Javascript/jquery-1.11.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/Javascript/preorderTraversal.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/Javascript/jcanvas.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/images/bg-menu-left-curve.gif HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/images/bg-menu.gif HTTP/1.1" 304 -
127.0.0.1 - - [05/Aug/2015:20:48:08 -0400] "GET /JEZ3_Apps/images/bg-content.gif HTTP/1.1" 304 -
